"id","order","enabled","number","label"
"garden-party","1","true","01","Garden Party pinball"
"smart-pot","2","true","02","Smart pot PCB / enclosure"
"solidworks","3","true","03","SolidWorks mechanism studies"
"subpix","4","true","04","Subpix desktop editor"
"small-tools","5","true","05","small web + robotics tools"
