"id","section_id","order","enabled","title","date","detail","achievement_1","achievement_2","achievement_3","achievement_4","href","href_label"
"scouts-bsa","activities-leadership-service","1","true","Scouts BSA","","I participate in meetings once a week. Scouting Troop 401.","Current rank - Second Class Scout","Merit badges - 14 earned","","","",""
"academic-uil","activities-leadership-service","2","true","Academic UIL","","I compete in UIL academic events.","District UIL tournament - Number Sense team, second place (three-person SECA team)","","","","",""
"debate","activities-leadership-service","3","true","Debate","","Reached JV finals.","CASE Debates tournament #4, 2025 - Third place","CASE Debates tournament #5, 2026 - Second place","","","",""
"spanish","languages-learning","2","true","Spanish","","AP Spanish Language coursework and continued practice.","","","","","",""
"french","languages-learning","3","true","French","","I practice pronunciation, listening, and sentence construction.","","","","","",""
"latin-background","languages-learning","4","true","Latin","","Foundational Latin study.","","","","","",""
