"id","order","enabled","category","icon"
"main-builds","1","true","Main builds","wrench"
"software-visualization-ai","2","true","Software, visualization, and AI","cpu"
"fabrication-maker-skills","3","true","Fabrication and maker skills","printer"
"academics","4","true","Academics","school"
"competitions-speaking-leadership","5","true","Competitions, speaking, and leadership","trophy"
"scouts-service-discipline","6","true","Scouts, service, and long-term discipline","target"
"languages-learning","7","true","Languages and long-term learning","list"
