"id","order","enabled","group","format","label","value","note","highlight","asset_src","asset_alt","href","href_label","icon","dynamic_source","username"
"ap-human-geography","1","true","AP exams","ap-score","AP Human Geography","5","2026 exam score","","","","","","","",""
"ap-spanish-language","2","true","AP exams","ap-score","AP Spanish Language and Culture","4","2026 exam score","","","","","","","",""
"college-algebra","3","true","College credit","grade","College Algebra","95","Dual credit","","","","","","","",""
"educ-1300","4","true","College credit","grade","EDUC 1300","100","Dual credit","","","","","","","",""
"geometry-a-cbe","5","true","Credit by Examination","grade","Geometry A","91","Credit by Examination","","","","","","","",""
"geometry-b-cbe","6","true","Credit by Examination","grade","Geometry B","97","Credit by Examination","","","","","","","",""
"math-acceleration","7","true","Progression","text","Math progression","Accelerated into college trigonometry and precalculus","","","","","","","","",""
