"id","order","enabled","presentation_size","title","href","source_href","type","status","context","description","logo_src","logo_alt","logo_href","media_1_type","media_1_src","media_1_poster_src","media_1_alt","media_1_caption","media_2_type","media_2_src","media_2_poster_src","media_2_alt","media_2_caption","media_3_type","media_3_src","media_3_poster_src","media_3_alt","media_3_caption","media_4_type","media_4_src","media_4_poster_src","media_4_alt","media_4_caption"
"agentdeck","1","true","standard","AgentDeck","","","local-network controller","","","I built AgentDeck to turn an old phone or tablet into a dedicated touchscreen controller for AI coding agents. A lightweight desktop host serves the interface over the local network, allowing spare hardware to replace an expensive single-purpose control deck.","","","","","","","","","","","","","","","","","","","","","","",""
"check-ins","2","true","standard","Check-ins","https://check-ins-zeta.vercel.app/","https://github.com/Chrissyuh/check-ins","React / Vite web app","","","I built Check-ins, a local-first web app for recurring work and study tasks. It tracks target and maximum gaps, flags items that are due or overdue, and keeps a completion history without requiring an account.","","","","photo","/portfolio-media/check-ins/check-ins-overview.webp","","Check-ins dashboard showing recurring work and study items with target and maximum gaps","Recurring check-ins with target and maximum gaps","","","","","","","","","","","","","","",""
"vex-robotics-builds","3","true","standard","VEX Robotics Builds","","","TETC robotics builds","","TETC program","I built VEX robots at TETC to practice gearing, drivetrain layout, shaft spacing, and mechanical packaging.","/portfolio-media/programs/tetc-logo.png","ExxonMobil Foundation Teen Engineering and Tech Center logo","https://tetc.org/","","","","","","","","","","","","","","","","","","","",""
"midi-practice-tool","4","true","compact","MIDI Practice Tool","","","Python / music","","","A small Python tool for keyboard practice, soundfonts, pedals, and control mapping.","","","","","","","","","","","","","","","","","","","","","","",""
"desmos-3d-solar-system","5","true","compact","Desmos 3D Solar System","https://www.desmos.com/3d/qcjp33t4ij","","math visualization","","","An interactive 3D orbit scene built in Desmos to experiment with surfaces, motion, and performance limits.","","","","","","","","","","","","","","","","","","","","","","",""
"tinygpt-experiments","6","true","compact","TinyGPT Experiments","","","machine learning","","","Small next-token-model experiments used to study training behavior and instruction behavior.","","","","","","","","","","","","","","","","","","","","","","",""
