"id","order","enabled","entry_type","program","credential","issuer","date","summary","summary_link_text","logo_src","logo_alt","logo_href","scan_src","scan_alt","scan_caption","href","href_label","badge_embed_src","badge_embed_title","accent","related_project_id","award_title","award_date","award_distinction","award_summary","award_quote","award_quote_attribution"
"tetc","1","true","program","Teen Engineering + Tech Center","","ExxonMobil Foundation","","I attend a four-year after-school STEM program with engineering lessons, makerspace work, workplace tours, and college and career preparation.","","/portfolio-media/programs/tetc-logo.png","ExxonMobil Foundation Teen Engineering and Tech Center logo","https://tetc.org/","","","","https://tetc.org/","Program site","","","blue","","A1 Excellence Award","2026","Sole recipient","The award recognized work beyond program requirements across CAD, robotics, and engineering projects.","",""
"stanford-ai4all","2","true","credential","Stanford AI4ALL","Stanford AI4ALL Certificate of Completion","Stanford AI4ALL and Stanford Pre-Collegiate Studies","June 26, 2026","Completed Stanford AI4ALL in Robotics through the ten-person VividGrasp project.","VividGrasp project","/portfolio-media/vividgrasp/stanford-ai4all-logo.png","Stanford AI4ALL logo","https://ai4all.spcs.stanford.edu/","/portfolio-media/credentials/stanford-ai4all-certificate.jpg","Stanford AI4ALL Certificate of Completion in Robotics awarded to Christopher Heskett","Stanford AI4ALL Certificate of Completion in Robotics, June 26, 2026","https://ai4all.spcs.stanford.edu/","Program site","","","amber","vividgrasp-ai-vision-robotics-arm","","","","","",""
"cswa","3","true","credential","Certified SOLIDWORKS Design Associate (CSWA)","Certified SOLIDWORKS Design Associate (CSWA)","Dassault Systèmes","July 15, 2026","Passed the CSWA exam in SOLIDWORKS part modeling, assemblies, dimensions, mass properties, and materials.","","/portfolio-media/credentials/cswa-badge.png","Certified SOLIDWORKS Design Associate badge","https://www.credly.com/badges/39c1cd0e-5fd3-4e91-91b7-b53ae7b7c83f/public_url","/portfolio-media/credentials/cswa-certificate.png","SOLIDWORKS Design Associate certificate awarded to Christopher Heskett","Certified SOLIDWORKS Design Associate, issued July 15, 2026","https://www.credly.com/badges/39c1cd0e-5fd3-4e91-91b7-b53ae7b7c83f/public_url","Verify badge","https://www.credly.com/embedded_badge/39c1cd0e-5fd3-4e91-91b7-b53ae7b7c83f","Verified Certified SOLIDWORKS Design Associate badge on Credly","blue","","","","","","",""
"cswp","4","true","credential","Certified SOLIDWORKS Design Professional (CSWP)","Certified SOLIDWORKS Design Professional (CSWP)","Dassault Systèmes","July 29, 2026","Passed the CSWP exam for advanced mechanical design modeling in SOLIDWORKS.","","","","","","","","https://www.credly.com/badges/6508c18d-db38-40ad-93a4-b5ed4e7714fe/public_url","Verify badge","https://www.credly.com/embedded_badge/6508c18d-db38-40ad-93a4-b5ed4e7714fe","Verified Certified SOLIDWORKS Design Professional badge on Credly","blue","","","","","","",""
